sensorId,lat,lon,boxName,boxId,06.08.18 22:00,06.08.18 23:00,07.08.18 00:00,07.08.18 01:00,07.08.2018 02:00,07.08.2018 03:00,07.08.2018 04:00,07.08.2018 05:00,07.08.2018 06:00,07.08.2018 07:00,07.08.2018 08:00,07.08.2018 09:00,07.08.2018 10:00,07.08.2018 11:00,07.08.2018 12:00,07.08.2018 13:00,07.08.2018 14:00,07.08.2018 15:00,07.08.2018 16:00,07.08.2018 17:00,07.08.2018 18:00,07.08.2018 19:00,07.08.2018 20:00,07.08.2018 21:00,07.08.2018 22:00,07.08.2018 23:00
56957f3ab3de1fe0052532e0,51.957090029248754,7.640642523765564,WG Wolbecker Str.,56957f3ab3de1fe0052532da,29.201159420289855,28.499855072463767,27.47919708029197,26.533768115942028,25.191884057971016,24.249492753623187,23.62094890510949,24.425434782608697,25.76942028985507,37.59811594202898,45.387153284671534,46.35804347826087,47.97014492753623,47.40445255474452,43.591086956521735,40.429855072463766,39.899489051094896,39.845942028985505,39.039855072463766,37.94109489051095,36.89072463768116,35.62394160583941,34.08833333333333,32.7418115942029,30.974306569343064,30.383478260869566
57000b8745fd40c8196ad052,51.962372,7.64568,Oststr/Mauritzsteinpfad,57000b8745fd40c8196ad04c,25.17076923076923,24.234166666666667,23.474166666666665,22.718333333333334,21.965,21.436666666666667,21.087692307692308,22.819999999999997,24.280833333333334,25.8325,32.9475,33.63583333333333,35.55583333333333,37.27923076923077,37.43083333333333,37.475,36.26833333333333,35.8175,35.52833333333333,34.97833333333333,33.67846153846154,31.770833333333332,30.363333333333333,29.209166666666665,28.147499999999997,27.549166666666668
5750220bed08f9680c6b415a,51.95616769306822,7.6511693559587,BalkonBox Mindener Str.,5750220bed08f9680c6b4154,26.476551724137934,25.671166666666668,24.9735,24.161166666666666,23.421833333333332,22.858999999999998,22.4455,22.692999999999998,23.833833333333335,26.7695,30.240666666666666,33.5405,36.90866666666667,37.440333333333335,38.802,39.27633333333333,39.066,38.559333333333335,37.507666666666665,36.309333333333335,34.97166666666667,33.6535,31.927833333333336,30.892999999999997,29.695833333333333,28.853333333333335
57585de44bab38000e49fa9d,51.976527,7.586553,senseBox_wifi_Yun,57585de44bab38000e49fa97,21.258333333333333,20.133333333333333,19.543333333333333,18.656666666666666,18.363333333333333,18.323333333333334,18.313333333333333,19.766666666666666,23.468333333333334,39.071666666666665,46.955000000000005,36.068,34.574,35.646,36.20666666666667,36.73666666666667,37.065,37.092,36.48666666666667,35.18333333333333,32.88833333333333,29.189999999999998,28.251666666666665,27.021666666666665,24.853333333333335,24.311666666666667
58932c89d038b000102f7d3a,52.001647,7.614025,KiTa Glühwürmchen,58932c89d038b000102f7d35,21.173396226415097,20.18673076923077,19.423461538461538,18.778490566037735,18.103846153846153,17.570188679245284,17.380192307692308,18.369811320754717,20.839807692307694,24.141153846153845,27.370754716981132,30.239038461538463,32.30673076923077,33.95962264150943,35.195,35.990566037735846,36.00961538461539,35.72942307692308,34.57622641509434,33.07230769230769,31.271509433962265,28.782307692307693,26.760384615384616,25.747735849056607,25.06403846153846,24.396415094339623
58cbf6d1c877fb00116fe61a,51.969664,7.595538,WiFiV1 Teststation,58cbf6d1c877fb00116fe615,26.069166666666668,25.97683333333333,25.91783333333333,25.839,25.78666666666667,25.718666666666664,25.721666666666668,25.721333333333334,25.700666666666667,25.80816666666667,26.421346153846155,,26.7825,,,,,,,,,,,,,
593bcd656ccf3b0011791f5b,51.960868,7.604288,CYBER Box,593bcd656ccf3b0011791f5a,25.975166666666667,25.145166666666668,24.332881355932205,23.686333333333334,23.12169491525424,22.56866666666667,22.321,22.8915,24.334333333333333,26.261333333333333,28.386271186440677,30.490833333333335,32.34627118644068,34.704237288135594,39.174499999999995,47.52033333333333,48.96633333333333,43.695166666666665,40.405166666666666,37.91166666666666,35.662666666666674,33.04135593220339,31.490333333333336,30.432000000000002,29.266833333333334,28.496333333333332
599180be7e280a001044b839,51.929339,7.684194,C1024_balcony,599180be7e280a001044b837,27.849999999999998,27.08,26.141666666666666,25.09583333333333,24.458333333333332,23.958333333333332,23.392,23.733333333333334,25.162499999999998,27.004166666666666,28.804166666666664,31.15833333333333,33.766666666666666,36.38260869565217,38.51304347826087,39.944,39.9125,39.9375,39.34166666666667,37.925000000000004,36.66,35.34166666666667,33.34166666666667,32.52916666666667,30.77916666666667,29.732
599449ce7e280a00106ee97d,51.900733,7.42708,WL42home,599449ce7e280a00106ee978,23.81047619047619,22.914285714285715,22.03682926829268,21.36547619047619,20.740000000000002,20.263095238095236,19.981190476190477,21.019268292682927,29.744285714285713,38.89756097560976,43.330238095238094,40.138333333333335,35.96878048780488,36.42487804878049,36.79833333333333,37.05547619047619,36.95219512195122,36.739999999999995,36.29780487804878,35.2897619047619,33.33809523809524,30.56219512195122,29.424999999999997,28.561951219512196,27.03,26.00547619047619
599c9b80d67eb500118c6b60,51.954793,7.650543,wb132ms,599c9b80d67eb500118c6b5e,24.616666666666664,23.8125,23.09166666666667,22.175,21.3125,20.612,20.295833333333334,24.620833333333334,27.766666666666666,26.666666666666668,29.10909090909091,31.47083333333333,32.80833333333333,34.17916666666667,35.295833333333334,35.612500000000004,36.40833333333333,36.699999999999996,36.75833333333333,37.483333333333334,34.92916666666667,32.458333333333336,30.675,29.0125,27.212500000000002,26.416666666666668
