sensorId,lat,lon,boxId,temperatur_2019-01-24T16Z,temperatur_2019-01-24T17Z,temperatur_2019-01-24T18Z,temperatur_2019-01-24T19Z,temperatur_2019-01-24T20Z,temperatur_2019-01-24T21Z,temperatur_2019-01-24T22Z,temperatur_2019-01-24T23Z,temperatur_2019-01-25T00Z,temperatur_2019-01-25T01Z,temperatur_2019-01-25T02Z,temperatur_2019-01-25T03Z,temperatur_2019-01-25T04Z,temperatur_2019-01-25T05Z,temperatur_2019-01-25T06Z,temperatur_2019-01-25T07Z,temperatur_2019-01-25T08Z,temperatur_2019-01-25T09Z,temperatur_2019-01-25T10Z,temperatur_2019-01-25T11Z,temperatur_2019-01-25T12Z,temperatur_2019-01-25T13Z,temperatur_2019-01-25T14Z,temperatur_2019-01-25T15Z,temperatur_2019-01-25T16Z,temperatur_2019-01-25T17Z
56957f3ab3de1fe0052532e0,51.957090029248754,7.640642523765564,56957f3ab3de1fe0052532da,-0.18630434782608696,0.31970802919708025,0.03673913043478261,0.7105109489051095,0.5074452554744525,0.352992700729927,0.5595652173913044,0.953941605839416,1.1324087591240874,1.0636231884057972,1.0317518248175181,0.9388405797101449,0.6661313868613139,0.6544927536231885,0.3456204379562044,-0.043623188405797104,0.4551094890510949,0.6580291970802921,1.2944927536231885,1.9543382352941179,1.8628260869565216,2.0176642335766424,2.591897810218978,2.9350724637681163,2.9525,
57000b8745fd40c8196ad052,51.962372,7.64568,57000b8745fd40c8196ad04c,-3.14,-3.0908333333333338,-3.2533333333333334,-3.1633333333333336,-3.0041666666666664,-2.886923076923077,-2.7724999999999995,-2.3825,-2.3316666666666666,-2.5941666666666667,-2.731666666666667,-2.5907692307692307,-2.505,-2.7133333333333334,-2.7075,-3.0608333333333335,-2.9492307692307693,-2.4766666666666666,-1.9016666666666666,-1.2091666666666667,-1.02,-0.4766666666666666,0.1991666666666667,0.9546153846153846,1.02,
5750220bed08f9680c6b415a,51.95616769306822,7.6511693559587,5750220bed08f9680c6b4154,-1.7828813559322034,-1.5735,-1.875593220338983,-1.6656140350877193,-1.570701754385965,-1.616949152542373,-1.454,-1.0663333333333334,-1.065,-1.2223333333333335,-1.0043333333333333,-0.8971666666666667,-1.2863333333333336,-1.7516666666666665,-1.0851666666666666,-1.6276666666666666,-1.55,-1.1138333333333332,-0.767,0.09183333333333334,0.18916666666666665,0.7518333333333334,1.4056666666666666,2.3594999999999997,2.533333333333333,
591f578c51d34600116a8ea6,51.96422,7.645218,591f578c51d34600116a8ea5,-2.446039603960396,-2.2795098039215684,-2.4402970297029705,-2.2312871287128715,-1.9168627450980393,-1.8762376237623761,-1.7592156862745099,-1.5897058823529413,-1.4737623762376237,-1.4892156862745098,-1.532156862745098,-1.534059405940594,-1.7243137254901961,-1.8952941176470588,-1.6179207920792078,-1.8862376237623761,-1.7619607843137255,-1.2967326732673268,-0.7341176470588234,-0.09485148514851485,-0.1653921568627451,0.1103921568627451,0.9448514851485149,1.5922549019607843,1.53,
593c20216ccf3b00117ca2d9,51.905181,7.620859,593c20216ccf3b00117ca2d6,-2.356521739130435,-2.588,-2.3791666666666664,-2.1333333333333333,-2.004166666666667,-2.004,-1.8499999999999999,-1.6833333333333333,-1.6440000000000001,-1.6458333333333333,-1.7083333333333333,-1.712,-2.0083333333333333,-2.220833333333333,-3.0639999999999996,-3.345833333333333,-2.3541666666666665,-1.62,-0.6958333333333333,-0.25833333333333336,-0.0625,0.408,1.1458333333333333,1.4416666666666667,1.3999999999999997,
599180be7e280a001044b839,51.929339,7.684194,599180be7e280a001044b837,-0.10833333333333334,-0.41250000000000003,-0.6124999999999999,-0.18333333333333335,-0.17083333333333336,-0.24583333333333335,-0.19999999999999998,-0.07083333333333335,0.09583333333333334,0.05000000000000001,0.02916666666666667,-0.020833333333333332,-0.4041666666666666,-0.35833333333333334,-0.5541666666666667,-1.3083333333333333,-0.7666666666666666,-0.35833333333333334,-0.10833333333333334,0.33749999999999997,0.6958333333333333,0.9541666666666666,1.8125,2.25,2.2,
599c9b80d67eb500118c6b60,51.954793,7.650543,599c9b80d67eb500118c6b5e,-3.4583333333333335,-3.408333333333333,-3.466666666666667,-3.3000000000000003,-3.3636363636363638,-3.408333333333333,-3.341666666666667,-3.0652173913043477,-3.033333333333333,-3.1125000000000003,-2.8708333333333336,-2.9333333333333336,-3.2291666666666665,-3.1999999999999997,-3.1458333333333335,-3.4,-3.4499999999999997,-2.7043478260869565,-2.0541666666666667,-1.3666666666666665,-1.0833333333333333,-0.5666666666666667,0.05833333333333333,0.8375,0.7,
59ad958fd67eb50011b85f6f,51.903004,7.635283,59ad958fd67eb50011b85f6d,-3.1714285714285713,-3.3181818181818183,-3.376363636363636,-3.327272727272727,-3.194545454545455,-3.0145454545454546,-2.9672727272727273,-2.896363636363636,-2.9410714285714286,-2.7232142857142856,-2.7836363636363637,-2.867857142857143,-3.123636363636364,-3.16,-3.214814814814815,-3.7745454545454544,-2.9232142857142853,-1.8963636363636363,-0.5875,0.12545454545454546,0.18214285714285713,0.4527272727272727,1.34,1.889090909090909,1.54,
59c3b5e1d67eb50011335cf3,51.956907,7.633289,59c3b5e1d67eb50011335cee,-1.3631666666666669,-1.1948333333333332,-1.2471666666666665,-1.273,-0.9981666666666666,-0.8096666666666666,-0.6595,-0.527,-0.25316666666666665,-0.19533333333333333,-0.19416666666666668,-0.16166666666666665,-0.3195,-0.5235,-0.9133333333333333,-1.2711666666666666,-0.9266666666666666,-0.3061666666666667,0.7523333333333333,1.3655000000000002,1.6076666666666666,1.922,2.7183333333333333,3.2766666666666664,3.0716666666666668,
59c67b5ed67eb50011666dc0,51.946322,7.62677,59c67b5ed67eb50011666dbb,-3.0949999999999998,-3.092,-3.1540000000000004,-3.0746666666666664,-3.068833333333333,-3.057457627118644,-2.9316666666666666,-2.7523333333333335,-2.6631666666666667,-2.582,-2.4546666666666668,-2.6085,-2.6758333333333337,-2.7121666666666666,-2.9793333333333334,-3.2528333333333332,-2.9098333333333333,-2.5635,-1.7588333333333332,-1.0633333333333332,-0.666,-0.07866666666666666,0.6581666666666667,1.4098333333333335,1.4366666666666665,
5a0c15289fd3c200110f3d3a,51.953351,7.641463,5a0c15289fd3c200110f3d33,-2.862,-2.8121666666666667,-2.8430000000000004,-2.856666666666667,-2.740666666666667,-2.5345,-2.3485,-2.2338333333333336,-2.241833333333333,-2.2396666666666665,-2.1795,-2.1565,-2.2201666666666666,-2.332666666666667,-2.6505,-3.0300000000000002,-2.9396666666666667,-2.2543333333333333,-1.4104999999999999,-0.8756666666666667,-0.373,0.16583333333333333,1.1023333333333334,1.7568333333333332,1.7899999999999998,
5a0c2cc89fd3c200111118f7,51.960435,7.641426,5a0c2cc89fd3c200111118f0,-2.619333333333333,-2.5801724137931035,-2.722,-2.557,-2.4013333333333335,-2.3615,-2.1505,-1.925,-1.9448333333333332,-1.8665517241379308,-1.8775000000000002,-1.8378333333333332,-1.9231666666666667,-1.9945,-2.2718333333333334,-2.6858333333333335,-2.617241379310345,-2.0633898305084744,-1.3916666666666666,-0.738135593220339,-0.5677966101694916,-0.014,0.8254237288135594,1.5385,1.546,
5a0c30489fd3c20011115fbe,51.970725,7.631443,5a0c30489fd3c20011115fb7,-1.8705,-1.6659016393442623,-2.0071186440677966,-1.901,-1.7596666666666667,-1.8735593220338982,-1.7428333333333332,-1.4056666666666666,-1.1881666666666668,-1.094,-1.0941666666666667,-1.1291666666666667,-1.1963333333333332,-1.1991666666666667,-2.109,-2.431166666666667,-1.7871666666666668,-1.5675,-0.8223333333333334,-0.21316666666666664,0.026166666666666664,0.3423333333333333,1.3346666666666667,1.9443333333333332,1.9883333333333333,
