sensorId,lat,lon,boxName,boxId,2019-01-01T23Z,2019-01-02T00Z,2019-01-02T01Z,2019-01-02T02Z,2019-01-02T03Z,2019-01-02T04Z,2019-01-02T05Z,2019-01-02T06Z,2019-01-02T07Z,2019-01-02T08Z,2019-01-02T09Z,2019-01-02T10Z,2019-01-02T11Z,2019-01-02T12Z,2019-01-02T13Z,2019-01-02T14Z,2019-01-02T15Z,2019-01-02T16Z,2019-01-02T17Z,2019-01-02T18Z,2019-01-02T19Z,2019-01-02T20Z,2019-01-02T21Z,2019-01-02T22Z,2019-01-02T23Z,2019-01-03T00Z
56957f3ab3de1fe0052532e0,51.957090029248754,7.640642523765564,WG Wolbecker Str.,56957f3ab3de1fe0052532da,,,,,,,,,,,11.27962962962963,14.074671532846715,13.972826086956522,13.44963768115942,11.891459854014599,10.049202898550725,9.028321167883213,8.339492753623187,7.801304347826086,7.3271532846715335,7.104130434782609,6.856086956521739,6.764087591240876,6.83463768115942,6.6392028985507245,6.630869565217391
57000b8745fd40c8196ad052,51.962372,7.64568,Oststr/Mauritzsteinpfad,57000b8745fd40c8196ad04c,6.031666666666666,5.974166666666666,6.100909090909091,5.729166666666667,6.075833333333333,6.453333333333333,6.563846153846153,6.0874999999999995,5.6575,5.711666666666667,6.055,6.922499999999999,7.421538461538462,6.868333333333333,6.555,6.146666666666667,5.368333333333333,4.628333333333333,4.075384615384615,3.76,4.17,3.8166666666666664,4.086666666666667,4.280833333333333,3.9753846153846153,4.145833333333333
5750220bed08f9680c6b415a,51.95616769306822,7.6511693559587,BalkonBox Mindener Str.,5750220bed08f9680c6b4154,6.991,6.8635,6.928,6.6771666666666665,6.950833333333334,7.102,7.1641666666666675,6.8196666666666665,6.753,7.025666666666667,13.680666666666667,14.613,13.6425,12.0795,10.284166666666666,9.232666666666667,7.8475,6.992,6.470833333333333,6.038333333333333,6.238166666666667,5.992333333333334,6.103666666666667,6.147,5.7665,5.781000000000001
5837219353fb45000f9478b5,51.9477,7.5875,Westfälisches Pferdemuseum Münster,5837219353fb45000f9478b0,5.116666666666666,4.933333333333334,5.05,4.44,5.083333333333333,5.666666666666667,5.95,5.24,,,,,,,,,,,,,,,0.7000000000000001,1.8166666666666667,2.2600000000000002,2.716666666666667
591f578c51d34600116a8ea6,51.96422,7.645218,Wetterstation Erpho,591f578c51d34600116a8ea5,5.791568627450981,5.639207920792079,5.7987254901960785,5.52686274509804,5.696176470588235,6.087450980392156,6.254158415841584,5.834411764705883,5.635686274509804,5.815,7.193376623376623,,,8.19590909090909,7.8639175257731955,7.055588235294117,5.86656862745098,4.861683168316832,4.243465346534653,3.7546078431372547,4.276534653465347,4.203725490196079,4.327821782178218,4.531372549019608,4.39156862745098,4.484653465346534
593bcd656ccf3b0011791f5b,51.960868,7.604288,CYBER Box,593bcd656ccf3b0011791f5a,6.525593220338983,6.495084745762711,6.509491525423729,6.313,6.547833333333333,6.924,7.0794999999999995,6.703666666666667,6.379152542372881,6.507666666666666,6.906481481481482,10.275660377358491,13.561607142857143,13.936,9.705333333333334,7.975762711864407,6.9855,5.989454545454546,5.231166666666667,4.655454545454545,4.746938775510204,4.688421052631579,4.850232558139535,4.986976744186046,4.806666666666667,4.974716981132076
593c20216ccf3b00117ca2d9,51.905181,7.620859,stuc_sensor,593c20216ccf3b00117ca2d6,5.045833333333333,5,5.033333333333333,5.008333333333334,5.279166666666667,5.9239999999999995,6.074999999999999,5.633333333333333,5.213043478260869,5.486363636363636,5.840909090909091,6.695454545454546,8.513636363636364,11.516666666666666,14.982608695652175,14.112,7.147826086956522,5.631818181818182,4.5874999999999995,3.592,3.5041666666666664,3.154166666666667,2.966666666666667,3.2680000000000002,2.7454545454545456,3.152173913043478
599180be7e280a001044b839,51.929339,7.684194,C1024_balcony,599180be7e280a001044b837,6.726086956521739,6.395454545454545,6.759090909090909,6.482608695652174,6.554545454545454,6.9818181818181815,7.317391304347827,7.069565217391304,6.856521739130436,6.695454545454546,7.086363636363637,8.104545454545455,9.977272727272727,12.825000000000001,14.668181818181818,13.592,10.691666666666668,9.137500000000001,8.112499999999999,7.279166666666666,6.788,6.708333333333333,6.434782608695652,6.4772727272727275,6.166666666666667,6.166666666666667
599c9b80d67eb500118c6b60,51.954793,7.650543,wb132ms,599c9b80d67eb500118c6b5e,,,,,,,,,,,,,,,,,,,,,,,,20.99230769230769,3.526315789473684,3.195238095238095
59ad958fd67eb50011b85f6f,51.903004,7.635283,Kortumweg,59ad958fd67eb50011b85f6d,4.48,4.455357142857143,4.623214285714285,4.0218181818181815,4.358928571428572,4.892857142857143,5.2309090909090905,4.473214285714286,4.056521739130434,4.511111111111111,4.787878787878788,5.66,6.187179487179487,6.208928571428571,5.535,5.054545454545455,3.9410714285714286,2.2375,0.03818181818181818,-0.6678571428571428,0.4036363636363636,0.0035714285714285704,0.7054545454545454,1.3607142857142858,1.0926829268292682,2.0476190476190474
59c3b5e1d67eb50011335cf3,51.956907,7.633289,Gruenes_Zentrum,59c3b5e1d67eb50011335cee,6.024166666666667,5.975,6.117166666666666,5.695166666666666,6.190666666666667,6.571833333333333,6.701499999999999,6.304,5.9159999999999995,6.129499999999999,6.3340000000000005,6.840333333333334,6.962166666666667,7.040666666666667,6.8965000000000005,6.581333333333333,5.941333333333334,5.197333333333333,4.698833333333334,4.009166666666667,4.316,4.206333333333333,4.347833333333333,4.569500000000001,4.2935,4.503
